дата,ряд,показатель,значение,единица,источник_файл,флаг
2005-08-01,BAFA пограничная цена,Menge,237248.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-09-01,BAFA пограничная цена,Preis Euro/TJ,20.48929802080173,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-09-01,BAFA пограничная цена,Menge,220847.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-10-01,BAFA пограничная цена,Preis Euro/TJ,18.94248283325585,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-10-01,BAFA пограничная цена,Menge,262426.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-11-01,BAFA пограничная цена,Preis Euro/TJ,17.12536621053702,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-11-01,BAFA пограничная цена,Menge,304811.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-12-01,BAFA пограничная цена,Preis Euro/TJ,13.891875838479422,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-12-01,BAFA пограничная цена,Menge,390588.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-01-01,BAFA пограничная цена,Preis Euro/TJ,7.289141304382822,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-01-01,BAFA пограничная цена,Menge,310599.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-02-01,BAFA пограничная цена,Preis Euro/TJ,7.752944820213606,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-02-01,BAFA пограничная цена,Menge,300273.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-03-01,BAFA пограничная цена,Preis Euro/TJ,7.90186091938201,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-03-01,BAFA пограничная цена,Menge,305118.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-04-01,BAFA пограничная цена,Preis Euro/TJ,11.373736018647394,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-04-01,BAFA пограничная цена,Menge,238532.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-05-01,BAFA пограничная цена,Preis Euro/TJ,13.387046792686705,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-05-01,BAFA пограничная цена,Menge,209755.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-06-01,BAFA пограничная цена,Preis Euro/TJ,16.031538885764366,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-06-01,BAFA пограничная цена,Menge,183139.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-07-01,BAFA пограничная цена,Preis Euro/TJ,15.49073042647995,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-07-01,BAFA пограничная цена,Menge,201088.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-08-01,BAFA пограничная цена,Preis Euro/TJ,19.584583954899742,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-08-01,BAFA пограничная цена,Menge,166917.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-09-01,BAFA пограничная цена,Preis Euro/TJ,19.22466027413377,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-09-01,BAFA пограничная цена,Menge,169990.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-10-01,BAFA пограничная цена,Preis Euro/TJ,16.22487251885878,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-10-01,BAFA пограничная цена,Menge,213561.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-11-01,BAFA пограничная цена,Preis Euro/TJ,14.582929758630042,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-11-01,BAFA пограничная цена,Menge,258110.0,ТДж,egas_aufkommen_export_1999.xlsx,
2000-12-01,BAFA пограничная цена,Preis Euro/TJ,13.351369393742424,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2000-12-01,BAFA пограничная цена,Menge,284615.0,ТДж,egas_aufkommen_export_1999.xlsx,
