дата,ряд,показатель,значение,единица,источник_файл,флаг
2020-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4269.8,млн кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2001-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,36.36,бань/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2005-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,35.13,бань/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2010-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,75.75,бань/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2017-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,99.04,бань/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2018-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,99.36,бань/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2019-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,105.6,бань/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2001-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,3194.8,млн кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2005-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,3359.5,млн кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2010-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,3835.7,млн кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2017-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4066.4,млн кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2018-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4178.8,млн кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2019-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4301.9,млн кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"Табл. 1, стр. PDF 16"
2022-01-01,Годовые отчёты ANRE,"Цена закупки э/э у CTE Moldovenească, декабрь",73.5,USD/МВт·ч,Raport privind Activitatea ANRE in anul 2022.pdf,"стр. PDF 17: «creșterea prețului de procurare a energiei electrice de la sursa principală CTE Moldovenească cu circa 37,4 %, ajungând în luna decembrie la valoarea de 73,5 USD/MWh»"
2022-01-01,Годовые отчёты ANRE,"Диапазон цен закупки э/э на рынке Румынии, нижняя граница",90.0,USD/МВт·ч,Raport privind Activitatea ANRE in anul 2022.pdf,стр. PDF 17
