дата,ряд,показатель,значение,единица,источник_файл,флаг
2011-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,8923.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,8755.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,8755.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,6748.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,6748.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,9396.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Gaz natural,0.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,9396.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,11879.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,11879.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,11967.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,11967.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,8208.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,8208.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,9166.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,9166.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,10293.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Energie electrica,10293.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,11714.0,ТДж,ENE020300_20260809-014024.xlsx,
