дата,ряд,показатель,значение,единица,источник_файл,флаг
2001-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,89141674.0,USD,TradeData_8_9_2026_2_14_36.csv,
2001-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,779996353.0,кг,TradeData_8_9_2026_2_14_36.csv,
2001-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,779996353.0,кг,TradeData_8_9_2026_2_14_36.csv,
2002-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,90198973.0,USD,TradeData_8_9_2026_2_14_36.csv,
2002-01-01,Comtrade импорт газа 271121 (годовой),World | количество,780735369.0,кг,TradeData_8_9_2026_2_14_36.csv,
2002-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,780735369.0,кг,TradeData_8_9_2026_2_14_36.csv,
2002-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,80490211.0,USD,TradeData_8_9_2026_2_14_36.csv,
2002-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,670066178.0,кг,TradeData_8_9_2026_2_14_36.csv,
2002-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,670066178.0,кг,TradeData_8_9_2026_2_14_36.csv,
2003-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,88313006.0,USD,TradeData_8_9_2026_2_14_36.csv,
2003-01-01,Comtrade импорт газа 271121 (годовой),World | количество,850568075.0,кг,TradeData_8_9_2026_2_14_36.csv,
2003-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,850568075.0,кг,TradeData_8_9_2026_2_14_36.csv,
2003-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,52183874.0,USD,TradeData_8_9_2026_2_14_36.csv,
2003-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,449600862.0,кг,TradeData_8_9_2026_2_14_36.csv,
2003-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,449600862.0,кг,TradeData_8_9_2026_2_14_36.csv,
2004-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,92907443.0,USD,TradeData_8_9_2026_2_14_36.csv,
2004-01-01,Comtrade импорт газа 271121 (годовой),World | количество,864337266.0,кг,TradeData_8_9_2026_2_14_36.csv,
2004-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,864337266.0,кг,TradeData_8_9_2026_2_14_36.csv,
